[2021-03-30 16:10] stock_info 스크랩 시작!
[2021-03-30 16:10] (KRX신규상장종목) 업데이트 체크 시작
[2021-03-30 16:10] (KRX신규상장종목) 업데이트 체크 종료
[2021-03-30 16:10] (KRX상장폐지종목) 업데이트 체크 시작
[2021-03-30 16:10] (KRX상장폐지종목) 업데이트 체크 종료
[2021-03-30 16:10] (0000/2298) 동화약품 스크랩 완료
[2021-03-30 16:10] (0001/2298) KR모터스 스크랩 완료
[2021-03-30 16:10] (0002/2298) 경방 스크랩 완료
[2021-03-30 16:10] (0003/2298) 메리츠화재 스크랩 완료
[2021-03-30 16:10] (0004/2298) 삼양홀딩스 스크랩 완료
[2021-03-30 16:10] (0005/2298) 하이트진로 스크랩 완료
[2021-03-30 16:10] (0006/2298) 유한양행 스크랩 완료
[2021-03-30 16:10] (0007/2298) CJ대한통운 스크랩 완료
[2021-03-30 16:10] (0008/2298) 하이트진로홀딩스 스크랩 완료
[2021-03-30 16:10] (0009/2298) 두산 스크랩 완료
[2021-03-30 16:10] (0010/2298) 성창기업지주 스크랩 완료
[2021-03-30 16:10] (0011/2298) DL 스크랩 완료
[2021-03-30 16:10] (0012/2298) 유유제약 스크랩 완료
[2021-03-30 16:10] (0013/2298) 일동홀딩스 스크랩 완료
[2021-03-30 16:10] (0014/2298) 한국앤컴퍼니 스크랩 완료
[2021-03-30 16:10] (0015/2298) 삼천당제약 스크랩 완료
[2021-03-30 16:10] (0016/2298) 기아자동차 스크랩 완료
[2021-03-30 16:10] (0017/2298) 대유플러스 스크랩 완료
[2021-03-30 16:10] (0018/2298) 노루홀딩스 스크랩 완료
[2021-03-30 16:10] (0019/2298) 한화손해보험 스크랩 완료
[2021-03-30 16:10] (0020/2298) 삼화페인트공업 스크랩 완료
[2021-03-30 16:10] (0021/2298) 롯데손해보험 스크랩 완료
[2021-03-30 16:10] (0022/2298) 대원강업 스크랩 완료
[2021-03-30 16:10] (0023/2298) 중앙에너비스 스크랩 완료
[2021-03-30 16:10] (0024/2298) 조선내화 스크랩 완료
[2021-03-30 16:10] (0025/2298) 대동공업 스크랩 완료
[2021-03-30 16:10] (0026/2298) 가온전선 스크랩 완료
[2021-03-30 16:10] (0027/2298) 삼일제약 스크랩 완료
[2021-03-30 16:10] (0028/2298) 흥국화재 스크랩 완료
[2021-03-30 16:10] (0029/2298) CS홀딩스 스크랩 완료
[2021-03-30 16:10] (0030/2298) 동아쏘시오홀딩스 스크랩 완료
[2021-03-30 16:10] (0031/2298) 천일고속 스크랩 완료
[2021-03-30 16:10] (0032/2298) SK하이닉스 스크랩 완료
[2021-03-30 16:10] (0033/2298) 영풍 스크랩 완료
[2021-03-30 16:10] (0034/2298) LS네트웍스 스크랩 완료
[2021-03-30 16:10] (0035/2298) 유수홀딩스 스크랩 완료
[2021-03-30 16:10] (0036/2298) 현대건설 스크랩 완료
[2021-03-30 16:10] (0037/2298) 이화산업 스크랩 완료
[2021-03-30 16:10] (0038/2298) 삼성화재해상보험 스크랩 완료
[2021-03-30 16:10] (0039/2298) 화천기공 스크랩 완료
[2021-03-30 16:10] (0040/2298) 강남제비스코 스크랩 완료
[2021-03-30 16:10] (0041/2298) 한화 스크랩 완료
[2021-03-30 16:10] (0042/2298) 보해양조 스크랩 완료
[2021-03-30 16:10] (0043/2298) 유니온 스크랩 완료
[2021-03-30 16:10] (0044/2298) 전방 스크랩 완료
[2021-03-30 16:10] (0045/2298) 한국주철관공업 스크랩 완료
[2021-03-30 16:10] (0046/2298) DB하이텍 스크랩 완료
[2021-03-30 16:10] (0047/2298) 신라섬유 스크랩 완료
[2021-03-30 16:10] (0048/2298) 페이퍼코리아 스크랩 완료
[2021-03-30 16:10] (0049/2298) CJ 스크랩 완료
[2021-03-30 16:10] (0050/2298) JW중외제약 스크랩 완료
[2021-03-30 16:10] (0051/2298) 대한방직 스크랩 완료
[2021-03-30 16:10] (0052/2298) 만호제강 스크랩 완료
[2021-03-30 16:10] (0053/2298) LG상사 스크랩 완료
[2021-03-30 16:10] (0054/2298) 대한제분 스크랩 완료
[2021-03-30 16:10] (0055/2298) 국보 스크랩 완료
[2021-03-30 16:10] (0056/2298) 유진증권 스크랩 완료
[2021-03-30 16:10] (0057/2298) 금호전기 스크랩 완료
[2021-03-30 16:10] (0058/2298) 동국제강 스크랩 완료
[2021-03-30 16:10] (0059/2298) GS글로벌 스크랩 완료
[2021-03-30 16:10] (0060/2298) 남광토건 스크랩 완료
[2021-03-30 16:10] (0061/2298) 부국증권 스크랩 완료
[2021-03-30 16:10] (0062/2298) 상상인증권 스크랩 완료
[2021-03-30 16:10] (0063/2298) 백광산업 스크랩 완료
[2021-03-30 16:10] (0064/2298) 삼성제약 스크랩 완료
[2021-03-30 16:10] (0065/2298) SG충방 스크랩 완료
[2021-03-30 16:10] (0066/2298) KG케미칼 스크랩 완료
[2021-03-30 16:10] (0067/2298) 태원물산 스크랩 완료
[2021-03-30 16:10] (0068/2298) 세아베스틸 스크랩 완료
[2021-03-30 16:10] (0069/2298) 대한전선 스크랩 완료
[2021-03-30 16:10] (0070/2298) 현대해상 스크랩 완료
[2021-03-30 16:10] (0071/2298) BYC 스크랩 완료
[2021-03-30 16:10] (0072/2298) 삼부토건 스크랩 완료
[2021-03-30 16:10] (0073/2298) 현대차증권 스크랩 완료
[2021-03-30 16:10] (0074/2298) SK증권 스크랩 완료
[2021-03-30 16:10] (0075/2298) 동양 스크랩 완료
[2021-03-30 16:10] (0076/2298) 디아이동일 스크랩 완료
[2021-03-30 16:10] (0077/2298) 안국약품 스크랩 완료
[2021-03-30 16:10] (0078/2298) 조비 스크랩 완료
[2021-03-30 16:10] (0079/2298) 제일연마 스크랩 완료
[2021-03-30 16:10] (0080/2298) 금양 스크랩 완료
[2021-03-30 16:10] (0081/2298) 케이비아이동국실업 스크랩 완료
[2021-03-30 16:10] (0082/2298) 종근당홀딩스 스크랩 완료
[2021-03-30 16:10] (0083/2298) 대상 스크랩 완료
[2021-03-30 16:10] (0084/2298) 신영증권 스크랩 완료
[2021-03-30 16:10] (0085/2298) SK네트웍스 스크랩 완료
[2021-03-30 16:10] (0086/2298) 한양증권 스크랩 완료
[2021-03-30 16:10] (0087/2298) 신화실업 스크랩 완료
[2021-03-30 16:10] (0088/2298) 알루코 스크랩 완료
[2021-03-30 16:10] (0089/2298) 대한제당 스크랩 완료
[2021-03-30 16:10] (0090/2298) 오리온홀딩스 스크랩 완료
